Sub_PillarID,Location_ID,Street_address,Descr,Zip_code
52,76881,"10193 Lake District Lane","East Lake Park",32832
52,76921,"4400 West Colonial Drive","Emery Hamilton Sports Complex",32808
52,76939,"6123 La Costa Dr","Engelwood Pool/Neighborhood Center",32807
52,76960,"6050 Lake Underhill Rd","Engelwood Park",32807
52,77206,"2911 E Robinson St","Festival Park",32803
52,77232,"1236 N Orange Avenue","Gaston Edwards Park",32804
52,77248,"2000 Monte Carlo Trail","George Barker Park",32805
52,77270,"650 W Lake Mann Drive","Gilbert McQueen Park",32805
52,77312,"700 Grand Street","Grand Avenue Park",32805
52,77330,"1411 Greenwood Street","Greenwood Urban Wetlands",32801
52,77356,"1320 Guernsey Street","Guernsey Park",32804
52,77374,"1340 Lake Park Court","Hankins Park Pools",32805
52,77393,"4990 New Broad Street","Harbor Park",32814
52,77439,"14028 Centerline Drive","Heroes Community Park",32827
52,77461,"510 Shady Lane Drive","Ivanhoe Plaza Park",32804
52,77479,"291 Silverton Street","Ivey Lane Park/Neighborhood Center",32811
52,77511,"1745 Bruton Boulevard","James R. Smith Pool",32805
52,77532,"1002 West Carter Street","John H. Jackson Neighborhood Center",32805
52,77547,"1019 America Street","John H. Jackson Pool",32805
52,77582,"1218 North Fern Creek Avenue","John Long Pool",32803
52,77602,"1840 Mable Butler Avenue","L. Claudia Allen Senior Center",32805
52,77621,"5814 LaCosta Drive","La Costa Urban Wetlands",32807
